IPFROM,IPTO,REGI,ASSIGX,CTRY,CNTRY,PAIS
0,16777215,IANA,410227200,ZZ,ZZZ,RESERVED
50331648,67108863,ARIN,572572800,US,USA,UNITED
67108864,83886079,ARIN,0,US,USA,UNITED
100663296,117440511,ARIN,0,US,USA,UNITED
117440512,134217727,ARIN,880329600,US,USA,UNITED
134217728,150994943,ARIN,0,US,USA,UNITED
150994944,167772159,ARIN,598233600,US,USA,UNITED
167772160,184549375,IANA,762480000,ZZ,ZZZ,RESERVED
184549376,201326591,ARIN,443318400,US,USA,UNITED
201326592,218103807,ARIN,430444800,US,USA,UNITED
218103808,234881023,ARIN,514771200,US,USA,UNITED
251658240,268435455,ARIN,0,US,USA,UNITED
268435456,285212671,ARIN,611452800,US,USA,UNITED
285212672,301989887,ARIN,640224000,US,USA,UNITED
301989888,318767103,ARIN,0,US,USA,UNITED
318767104,335544319,ARIN,582336000,US,USA,UNITED
335544320,352321535,ARIN,620870400,US,USA,UNITED
352321536,369098751,ARIN,0,US,USA,UNITED
369098752,385875967,ARIN,614822400,US,USA,UNITED
402653184,403701759,ARIN,1065398400,US,USA,UNITED
403701760,404226047,ARIN,1070841600,US,USA,UNITED
404226048,404619263,ARIN,960508800,US,USA,UNITED
404619264,404643839,ARIN,920332800,US,USA,UNITED
404643840,404652031,ARIN,920332800,US,USA,UNITED
404652032,404676607,ARIN,920332800,US,USA,UNITED
404676608,404684799,ARIN,920332800,US,USA,UNITED
404692992,404750335,ARIN,0,US,USA,UNITED
404750336,404815871,ARIN,1097625600,US,USA,UNITED
404815872,404881407,ARIN,1001635200,US,USA,UNITED
404881408,404946943,ARIN,1000771200,US,USA,UNITED
404946944,404979711,ARIN,1034899200,US,USA,UNITED
405012480,405078015,ARIN,1076284800,CA,CAN,CANADA
405078016,405143551,ARIN,1076371200,CA,CAN,CANADA
405180416,405184511,ARIN,1181865600,CA,CAN,CANADA
405184512,405188607,ARIN,1200355200,US,USA,UNITED
405192704,405209087,ARIN,1176854400,US,USA,UNITED
405209088,405274623,ARIN,1077148800,US,USA,UNITED
405274624,405295103,ARIN,853286400,US,USA,UNITED
405299200,405307391,ARIN,1082937600,US,USA,UNITED
405307392,405331967,ARIN,1126828800,US,USA,UNITED
405340160,405364735,ARIN,940982400,US,USA,UNITED
405405696,405422079,ARIN,1209686400,PR,PRI,PUERTO
405422080,405438463,ARIN,1211500800,US,USA,UNITED
405438464,405471231,ARIN,1215993600,US,USA,UNITED
405471232,405536767,ARIN,1212624000,US,USA,UNITED
405536768,405798911,ARIN,988675200,US,USA,UNITED
405839872,405843967,ARIN,1224633600,US,USA,UNITED
405889024,405893119,ARIN,1225756800,US,USA,UNITED
405905408,405909503,ARIN,1233792000,US,USA,UNITED
405921792,405929983,ARIN,1225411200,CA,CAN,CANADA
406093824,406102015,ARIN,1226534400,US,USA,UNITED
406183936,406188031,ARIN,1228089600,CA,CAN,CANADA
